0,1
mizizi husambaa tototo na hueza kumera kutu kuriko na ukame,Its roots spread widely and are well-suited for dry areas.
ii mizizi hufyonza virutubishi tototo kuchangia muhi kumera tototo,"These roots take in nutrients efficiently, helping the plant grow well."
"Kwa vitagai hunahumira ""purple passion"" kwa sababu inahenzekana sana","For the scion, we use the purple passion fruit variety because it is in high demand."
hunatsanganya mbeyu ya purple na yellow ,We graft the purple variety onto the bitter yellow rootstock.
utsanganyi uu hutengeza muhi urio na mazao madzo,This combination ensures a healthy and productive plant.
Baada ya  kupandikiza unanyala miche kwa kuricha nafasi ,"After grafting, we move on to planting the seedlings with proper spacing."
miche ya karakara hunyalwa kwa kuricha nafasi ya mita Mwenga kwa kila muhi ,Passion fruit plants are spaced 3 meters apart from plant to plant.
kwa kila mtaro richa nafasi ya mita mbiri,"From row to row, the spacing is 2 meters."
zizi nafasi ni muhimu kwa sababu muhi wa karakara husambaa hatu ha bomu unahoku,This spacing is important because passion fruit plants spread out widely as they grow.
ila mita 1.5 na zaidi idadi ya matunda ganagoombola hupungua,"However, from 1.5 meters going further, you realize that the quality of fruits reduces."
 Ni jambo tite ila kaindamera tototo kwa kala zibanana sana,"It will be a very small issue, but they won’t grow well because you have overloaded them."
undakala unaenderera huijiza virutubishi ambyo kaindakala mbinu mbizo,"You have to keep replenishing the nutrients, which is not very sufficient."
ndo mana hunawasihi muhumire nafasi mbidzo,That’s why we encourage proper spacing.
kwa mlingoti mwenga unafaa kukimu mimea miri,"For a single post, two plants should be supported."
kwa milingoti miri inafaa kukimu mimea miri kila upande,"For two posts, they should support at least two plants on each side."
ninavyoona kwa nafasi ii undapata ni vivyo kila hatu,"Like I am seeing from this place, you can observe the same everywhere."
inamaanisha kala kombola mlingoti mwenga hadi mungine ni mita sita,That means from one post to the other is six meters.
Sasa hinde kwa waya,Now let’s go to the wire.
kwa waya hunahumira waya sisizo na kutu,"For the wires, we use galvanized wire."
hunahumira waya zizi kwasababu kazi pata kutu,We use galvanized wire because it prevents rust.
kutu husababisha kukala kwa makongo,Rust usually causes or promotes the development of diseases.
Makongo gaga ndo sababu hunakosa kuzihumira,These diseases are one of the issues we try to avoid.
ganaeza ku tibiwa lakini ni viguma wakati gakianza,"They can be managed, but it’s difficult to handle them once they start."
baada ya kutengeza nafasi unaeza anza kunyala,"After you have done the spacing, you plant your plants."
kawaida hunahumira mbolea ya kawaida kwenye ndoo,"Usually, we use composed manure in buckets."
unaeza onjeza mbolea ya fosiforasi,You can also add phosphorus fertilizer.
"na pia ya kuzuia unaeza himira ""trichoderma""","As a preventive measure, you can add Trichoderma."
indawezesha kuzuia upungufu wa Sodiamu kwenye mtsanga,It will help you prevent Sodium Wilt.
ina baha kwa sababu si rahisi kumarigiza ri tatizo,At least it will manage it because you cannot completely get rid of it.
"kitu kingine ni lazima uonjeze ""nematicide""",Another thing you must add is a nematicide.
Nematicide huhumika kulaga nematodes,You use the nematicide to kill nematodes.
inawezesha mimea kutovamiwa na nematodes,This ensures your plant is free of nematodes.
nematodes huvamia mimea ya karakara,Nematodes usually attack the passion fruit plants.
hufunga uwezo wa mimea kunyonya virutubishi,They block the uptake of nutrients in the plants.
ni here huzia shingo ya mumea kusababisha chakurya kisikihe,"It’s like they hold the plant’s neck, stopping food from passing through."
Ii ndo huhendeka mimea ikivamiwa na nematotodes,This is what happens when nematodes attack your plant.
kwa mimea ya karakara ni muhimu kunyala kwa mbinu ifaayo,"For passion fruit plants, it is important to plant them correctly."
tuiriza mkondo uu ili kuwezesha mimea imere tototo,Follow these steps to ensure good growth and avoid issues.
inaziya yo singo,It blocks the neck.
ni here kuziya shingo ta kakurya kisichire,"It's like holding the neck, so food is not going through."
ni jezi mumea kauweza kukiza chakurya,"Yes, the plant cannot take up food."
ni jeri kaiweza kukiza virutubishi,"Yes, they can’t absorb nutrients."
zizi ndo vionjezi  vihahu ndo unafaa kuhumira,"Now, those are the three additives I would encourage you to use."
hinde huuye nyuma,Let me take you back.
uhadza mbolea,You mentioned manure.
kunaika mbolea kbla ya kunyala,We had manure before planting.
kiasi chani cha mbolea na mbolea hizo ni mbodzo,"What quantities of manure are best, and which manure is the best?"
hata binadamu ana mbolea mbidzo,"You have good manure, even for human beings."
io ni mbinu hatari,That one is a very dangerous approach.
atu adhapingana na ue,People will argue with you.
mbolea mbidzo ni mtsanganyiko,Good manure means it is mixed.
si kombola kwa ngombe hakeye,It’s not just from cows alone.
si kombola kwa gonzi  hakeye,It’s not just from sheep alone.
ni mtsanganyiko wa mbolea ya ngombe,It’s a mixture of cattle manure.
